traj_side_20_x,traj_side_40_x,traj_side_60_x,traj_side_20_y,traj_side_40_y,traj_side_60_y,traj_dir_20_x,traj_dir_40_x,traj_dir_60_x,traj_dir_20_y,traj_dir_40_y,traj_dir_60_y,loc_pos_feet_right_x,loc_pos_feet_right_z,loc_pos_feet_right_y,loc_pos_feet_left_x,loc_pos_feet_left_z,loc_pos_feet_left_y,loc_vel_feet_right_x,loc_vel_feet_right_z,loc_vel_feet_right_y,loc_vel_feet_left_x,loc_vel_feet_left_z,loc_vel_feet_left_y,loc_vel_pelvis_x,loc_vel_pelvis_z,loc_vel_pelvis_y
-0.178676,-0.376291,-0.585974,-0.262974,-0.344197,-0.11433,-0.180392,-0.28672,-0.610294,0.237909,0.810801,1.595335,0.40075,-0.551548,-0.935548,1.253677,-0.207764,-0.648994,0.075473,-0.018992,-0.508195,-0.070663,0.127557,-0.354915,-0.087244,-0.025877,-0.123864
-0.025663,-0.168611,-0.740024,-0.042064,0.153781,0.486759,-0.173779,-0.538055,-1.354573,0.237438,0.827295,1.374521,0.63232,-0.540095,-1.421791,0.72836,0.180379,-0.00118,0.093073,0.037334,-0.515916,-0.202385,-0.138142,0.18271,0.003198,-0.00769,-0.075494
-0.035528,-0.51679,-1.127319,0.184676,0.510118,0.91296,-0.419158,-1.356429,-1.967627,0.226434,0.440234,0.720563,0.654771,-0.218197,-2.2275,0.524912,-0.197799,0.379648,-0.056495,0.327899,-0.072149,0.015208,-0.056547,-0.523395,0.067671,-0.032619,0.086279
-0.073895,-0.18184,-0.251249,0.36617,0.667881,0.961616,-1.006875,-1.674671,-2.885519,-0.046071,0.078755,-2.169064,0.122127,0.295518,-0.320651,0.318846,-0.163384,-1.326249,0.106742,-0.406844,1.269696,0.028672,0.063309,-0.432912,0.038731,0.047448,0.097829
0.822534,1.590018,1.882605,0.15747,0.327872,0.222631,-0.853618,-2.496772,-2.94574,0.060169,-1.877399,-3.957384,1.37327,-0.447668,1.915489,-0.097338,0.490679,-1.983131,0.053223,-0.090343,-0.617265,0.803953,0.307626,0.755136,0.430071,-0.141693,0.153553
1.530383,2.014751,1.372079,-0.028753,-0.353728,-0.727829,-1.9425,-2.701119,-2.923216,-1.428749,-3.123638,-4.309949,0.625825,-0.333587,0.555112,1.974585,0.084077,1.138494,0.429395,0.118195,-0.473551,1.55925,-0.341347,1.171443,0.742607,0.037152,-0.010326
0.370563,-0.299063,-2.995765,-0.532175,-0.819206,-0.86832,-1.297321,-2.187893,-2.667772,-0.324271,-0.880127,-0.971483,0.597652,-0.299267,0.70233,2.320964,-0.230875,-0.778868,0.524172,-0.076849,-0.649082,0.130959,0.077251,-0.521491,0.392351,-0.08321,-0.24958
-0.455099,-2.341582,-4.513575,-0.123837,0.179798,0.581031,-1.020872,-1.679048,-1.87666,-0.057103,0.072763,0.851161,0.692289,-0.316466,1.281065,1.371466,-0.092153,-1.400282,-0.084799,-0.018538,-0.47821,0.025924,0.009461,-0.487753,0.029155,-0.020599,-0.14027
-0.894308,-2.063159,-3.92038,0.452959,1.066117,1.939145,-0.730788,-0.785188,-1.392523,0.126825,0.78338,1.347824,0.897201,-0.275106,0.451413,0.722427,-0.092322,-2.979363,0.001068,0.047149,-0.467576,0.211663,0.239289,-0.208827,-0.131177,0.127725,0.200988
-0.293912,-1.070564,-2.285905,0.730127,1.606238,2.635673,0.033967,-0.793913,-1.81136,0.200815,0.780727,0.936796,1.172481,-0.149411,-2.031018,0.891062,0.551651,-1.489414,0.082449,0.040322,-0.43971,-0.039597,-0.254168,1.968661,0.002182,0.162794,0.218034
-0.899207,-2.339071,-3.530126,0.802249,1.761009,2.371216,-1.004273,-1.790242,-2.314937,-0.044046,-0.090042,0.074117,1.445308,0.622143,-3.318473,0.325664,-0.297442,1.739757,-0.349587,0.593678,1.245507,-0.303315,-0.103526,-0.066601,-0.346358,-0.11969,0.402525
0.472846,0.7649,1.196487,0.987688,1.466071,1.934967,-0.649168,-1.503296,-2.803595,0.162388,0.290768,-1.607889,0.799062,-0.049793,1.250975,0.233969,0.032372,-1.680789,0.574843,-0.568603,2.88937,0.437781,0.396895,0.023298,0.358909,0.180459,0.419127
1.062666,2.118006,2.216497,0.321497,0.641123,0.539773,-1.117705,-2.508385,-2.945032,-0.139777,-1.927404,-3.972046,1.729334,-0.562115,2.655828,0.592818,1.047632,-1.549288,0.072738,0.178207,-0.345065,1.071434,-0.222579,1.825708,0.491094,-0.169759,0.237741
1.955416,2.174408,0.516286,-0.057684,-0.357147,-0.715387,-1.635268,-2.637521,-2.955713,-0.79968,-2.612322,-3.668081,1.117447,-0.150125,1.008155,3.419244,-0.185359,1.951117,0.419812,0.158135,-0.286689,0.847908,-0.147046,0.603818,1.128553,-0.083054,0.008486
0.234977,-1.305299,-3.643212,-0.389644,-0.434351,-0.4681,-1.468213,-2.251564,-2.729287,-0.541524,-1.047542,-1.231638,1.083991,0.055792,0.776454,2.452012,-0.276927,-0.425259,0.823855,-0.098877,-0.677157,0.028303,0.036338,-0.681255,0.562408,0.194884,-0.29737
-0.726729,-1.943938,-4.195545,0.228215,0.525806,1.181261,-0.900461,-1.433399,-1.581875,0.030475,0.365395,1.189609,1.169328,-0.124419,0.472216,1.310549,-0.218905,-1.864805,-0.10463,-0.055259,-0.472681,-0.003233,0.007452,-0.499039,0.054125,0.154484,0.010916
-0.299472,-1.21355,-2.782372,0.444375,1.224859,2.04421,-0.34894,-0.644958,-1.815956,0.235574,0.815659,0.930981,1.26042,-0.139745,-1.591422,1.44231,0.53984,-2.533302,0.121582,0.01472,-0.497884,0.056872,0.295219,1.186382,-0.124845,0.099712,0.124259
