traj_side_20_x,traj_side_40_x,traj_side_60_x,traj_side_20_y,traj_side_40_y,traj_side_60_y,traj_dir_20_x,traj_dir_40_x,traj_dir_60_x,traj_dir_20_y,traj_dir_40_y,traj_dir_60_y,loc_pos_feet_right_x,loc_pos_feet_right_z,loc_pos_feet_right_y,loc_pos_feet_left_x,loc_pos_feet_left_z,loc_pos_feet_left_y,loc_vel_feet_right_x,loc_vel_feet_right_z,loc_vel_feet_right_y,loc_vel_feet_left_x,loc_vel_feet_left_z,loc_vel_feet_left_y,loc_vel_pelvis_x,loc_vel_pelvis_z,loc_vel_pelvis_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.880439,2.908126,3.951329,2.803366,5.27371,6.216213,0.020032,0.003543,-0.003451,0.999799,0.999994,0.999994,-7.50741,-44.285057,5.010561,4.460983,-41.486744,-1.124263,-0.015472,-0.097823,0.155691,0.134607,0.22557,0.088135,-0.090307,-0.03204,0.243196
0.454849,1.076256,1.43573,6.551505,11.545857,13.208179,0.004414,0.001582,-0.005148,0.99999,0.999999,0.999987,-7.987926,-13.466873,9.05089,6.604728,-11.543419,-3.819978,-0.081109,0.05894,0.256019,0.125596,0.103921,-0.001755,-0.058212,0.10054,0.396738
0.267716,0.604706,0.834676,7.440674,12.998168,14.890359,0.000586,-0.000949,-0.006549,1.0,1.0,0.999979,-8.058664,1.688026,12.592164,7.317792,2.70768,-6.019406,-0.060516,0.067871,0.226217,0.104597,0.110663,-0.025151,-0.044368,0.107569,0.445246
0.66919,0.957912,1.063924,7.253958,12.528612,14.271991,-0.010652,-0.007731,-0.007051,0.999943,0.99997,0.999975,-7.715754,8.85218,15.18277,7.730882,9.912678,-6.303189,0.032095,0.160437,0.104818,0.130173,0.120102,0.160037,-0.015239,0.092453,0.425366
0.88814,1.258805,1.339598,6.865574,11.968929,13.654059,-0.018221,-0.011755,-0.006861,0.999834,0.999931,0.999976,-7.291399,12.708946,16.486729,7.852506,14.044327,-5.383431,0.07177,0.201983,0.057366,0.127631,0.14441,0.208491,-0.006815,0.06904,0.399195
1.198637,1.578386,1.674316,6.579052,11.409119,12.916222,-0.014825,-0.014472,-0.007161,0.99989,0.999895,0.999974,-7.048882,14.361481,17.224031,8.328901,16.345222,-4.679943,0.093597,0.180227,0.008988,0.133775,0.138183,0.451336,0.003239,0.025656,0.381435
1.2387,1.642412,1.733574,6.239577,11.045613,12.528257,-0.014481,-0.01558,-0.007566,0.999895,0.999879,0.999971,-6.862991,15.403259,17.319075,8.670102,18.002831,-4.09328,0.106973,0.172614,-0.00128,0.101879,0.145222,0.494889,-0.000041,-0.001512,0.360869
1.217847,1.589902,1.661287,5.969319,10.713846,12.178288,-0.014434,-0.016061,-0.008,0.999896,0.999871,0.999968,-6.786189,16.099686,17.238075,8.92064,19.139267,-3.716732,0.114769,0.16573,-0.013099,0.074033,0.151245,0.506752,-0.003019,-0.017101,0.345476
1.018216,1.28454,1.350266,5.9655,10.49823,11.854209,-0.004698,-0.013891,-0.008877,0.999989,0.999904,0.999961,-6.855361,16.164871,16.649231,9.459814,19.521706,-3.851603,0.078959,0.109843,-0.033626,0.024887,0.137356,0.662602,-0.024739,-0.029324,0.350167
0.904088,1.113065,1.16045,5.912143,10.510773,11.897053,-0.004472,-0.014489,-0.009735,0.99999,0.999895,0.999953,-6.929016,16.299477,16.159525,9.771362,19.944374,-4.043606,0.079919,0.105516,-0.036218,0.008116,0.14723,0.67626,-0.031825,-0.033042,0.347507
0.822867,0.986468,1.019141,5.862936,10.48912,11.889347,-0.004675,-0.01514,-0.010557,0.999989,0.999885,0.999944,-7.000722,8.121552,15.79457,9.953341,11.971107,-4.284354,0.080094,0.10365,-0.037403,-0.002051,0.153469,0.679577,-0.036686,-0.034549,0.345626
0.669843,1.042931,1.125099,5.240278,9.261865,10.512574,0.00201,-0.013028,-0.011171,0.999998,0.999915,0.999938,-7.061206,12.62027,14.193175,10.637917,16.371979,-4.613081,0.015804,0.067064,-0.063331,-0.028608,0.138637,0.680581,-0.036671,-0.001193,0.312744
0.721844,1.146008,1.246052,5.207554,9.271126,10.562099,-0.00184,-0.015336,-0.011546,0.999998,0.999882,0.999933,-6.866789,14.542145,13.320333,10.927431,18.34066,-4.850531,0.022707,0.069682,-0.071358,-0.006035,0.149145,0.679964,-0.02753,0.017536,0.307715
0.706768,1.14334,1.240183,5.131389,9.169353,10.464456,-0.002384,-0.015889,-0.011844,0.999997,0.999874,0.99993,-6.68094,15.698944,12.720675,11.152911,19.596542,-5.002714,0.018574,0.068607,-0.068331,-0.010583,0.158238,0.678624,-0.027063,0.027343,0.304542
